Year,Age category,Single Year of Age,Sex category,Sex,UNIT,VALUE
1996,042,42 years,2,Female,Number,23933
1996,043,43 years,-,Both sexes,Number,48650
1996,043,43 years,1,Male,Number,24333
1996,043,43 years,2,Female,Number,24317
1996,044,44 years,-,Both sexes,Number,45707
1996,044,44 years,1,Male,Number,22981
1996,044,44 years,2,Female,Number,22726
1996,045,45 years,-,Both sexes,Number,45521
1996,045,45 years,1,Male,Number,22930
1996,045,45 years,2,Female,Number,22591
1996,046,46 years,-,Both sexes,Number,45598
1996,046,46 years,1,Male,Number,22719
1996,046,46 years,2,Female,Number,22879
1996,047,47 years,-,Both sexes,Number,45660
1996,047,47 years,1,Male,Number,22942
1996,047,47 years,2,Female,Number,22718
1996,048,48 years,-,Both sexes,Number,44777
1996,048,48 years,1,Male,Number,22774
1996,048,48 years,2,Female,Number,22003
1996,049,49 years,-,Both sexes,Number,43844
1996,049,49 years,1,Male,Number,22451
1996,049,49 years,2,Female,Number,21393
1996,050,50 years,-,Both sexes,Number,42615
1996,050,50 years,1,Male,Number,21653
1996,050,50 years,2,Female,Number,20962
1996,051,51 years,-,Both sexes,Number,38698
1996,051,51 years,1,Male,Number,19579
1996,051,51 years,2,Female,Number,19119
1996,052,52 years,-,Both sexes,Number,37068
1996,052,52 years,1,Male,Number,18881
1996,052,52 years,2,Female,Number,18187
1996,053,53 years,-,Both sexes,Number,35792
1996,053,53 years,1,Male,Number,17991
1996,053,53 years,2,Female,Number,17801
1996,054,54 years,-,Both sexes,Number,32474
1996,054,54 years,1,Male,Number,16714
1996,054,54 years,2,Female,Number,15760
1996,055,55 years,-,Both sexes,Number,31335
1996,055,55 years,1,Male,Number,15963
1996,055,55 years,2,Female,Number,15372
1996,056,56 years,-,Both sexes,Number,32238
1996,056,56 years,1,Male,Number,16416
1996,056,56 years,2,Female,Number,15822
1996,057,57 years,-,Both sexes,Number,31109
1996,057,57 years,1,Male,Number,15717
1996,057,57 years,2,Female,Number,15392
1996,058,58 years,-,Both sexes,Number,29179
1996,058,58 years,1,Male,Number,14698
1996,058,58 years,2,Female,Number,14481
1996,059,59 years,-,Both sexes,Number,29946
1996,059,59 years,1,Male,Number,15015
1996,059,59 years,2,Female,Number,14931
1996,060,60 years,-,Both sexes,Number,29104
1996,060,60 years,1,Male,Number,14532
1996,060,60 years,2,Female,Number,14572
1996,061,61 years,-,Both sexes,Number,27960
1996,061,61 years,1,Male,Number,13920
1996,061,61 years,2,Female,Number,14040
1996,062,62 years,-,Both sexes,Number,27430
1996,062,62 years,1,Male,Number,13757
1996,062,62 years,2,Female,Number,13673
1996,063,63 years,-,Both sexes,Number,27132
1996,063,63 years,1,Male,Number,13438
1996,063,63 years,2,Female,Number,13694
1996,064,64 years,-,Both sexes,Number,26320
1996,064,64 years,1,Male,Number,13043
1996,064,64 years,2,Female,Number,13277
1996,065,65 years,-,Both sexes,Number,26487
1996,065,65 years,1,Male,Number,12982
1996,065,65 years,2,Female,Number,13505
1996,066,66 years,-,Both sexes,Number,26218
1996,066,66 years,1,Male,Number,12722
1996,066,66 years,2,Female,Number,13496
1996,067,67 years,-,Both sexes,Number,25168
1996,067,67 years,1,Male,Number,11994
1996,067,67 years,2,Female,Number,13174
1996,068,68 years,-,Both sexes,Number,24369
1996,068,68 years,1,Male,Number,11269
1996,068,68 years,2,Female,Number,13100
1996,069,69 years,-,Both sexes,Number,24567
1996,069,69 years,1,Male,Number,11289
1996,069,69 years,2,Female,Number,13278
1996,070,70 years,-,Both sexes,Number,23916
1996,070,70 years,1,Male,Number,10853
1996,070,70 years,2,Female,Number,13063
1996,071,71 years,-,Both sexes,Number,23439
1996,071,71 years,1,Male,Number,10615
1996,071,71 years,2,Female,Number,12824
1996,072,72 years,-,Both sexes,Number,22553
1996,072,72 years,1,Male,Number,10084
1996,072,72 years,2,Female,Number,12469
1996,073,73 years,-,Both sexes,Number,22181
1996,073,73 years,1,Male,Number,9669
1996,073,73 years,2,Female,Number,12512
1996,074,74 years,-,Both sexes,Number,20453
1996,074,74 years,1,Male,Number,8903
1996,074,74 years,2,Female,Number,11550
1996,075,75 years,-,Both sexes,Number,20157
1996,075,75 years,1,Male,Number,8677
1996,075,75 years,2,Female,Number,11480
1996,076,76 years,-,Both sexes,Number,18750
1996,076,76 years,1,Male,Number,7953
1996,076,76 years,2,Female,Number,10797
1996,077,77 years,-,Both sexes,Number,16610
1996,077,77 years,1,Male,Number,6953
1996,077,77 years,2,Female,Number,9657
1996,078,78 years,-,Both sexes,Number,14078
1996,078,78 years,1,Male,Number,5842
1996,078,78 years,2,Female,Number,8236
1996,079,79 years,-,Both sexes,Number,14502
1996,079,79 years,1,Male,Number,5803
1996,079,79 years,2,Female,Number,8699
1996,080,80 years,-,Both sexes,Number,13192
1996,080,80 years,1,Male,Number,5285
1996,080,80 years,2,Female,Number,7907
1996,081,81 years,-,Both sexes,Number,12614
1996,081,81 years,1,Male,Number,4781
1996,081,81 years,2,Female,Number,7833
1996,082,82 years,-,Both sexes,Number,11199
1996,082,82 years,1,Male,Number,4107
1996,082,82 years,2,Female,Number,7092
1996,083,83 years,-,Both sexes,Number,10041
1996,083,83 years,1,Male,Number,3652
1996,083,83 years,2,Female,Number,6389
1996,084,84 years,-,Both sexes,Number,8725
1996,084,84 years,1,Male,Number,3249
1996,084,84 years,2,Female,Number,5476
1996,085,85 years,-,Both sexes,Number,7404
1996,085,85 years,1,Male,Number,2542
1996,085,85 years,2,Female,Number,4862
1996,086,86 years,-,Both sexes,Number,6001
1996,086,86 years,1,Male,Number,1975
1996,086,86 years,2,Female,Number,4026
1996,087,87 years,-,Both sexes,Number,4751
1996,087,87 years,1,Male,Number,1498
1996,087,87 years,2,Female,Number,3253
1996,088,88 years,-,Both sexes,Number,3762
1996,088,88 years,1,Male,Number,1154
1996,088,88 years,2,Female,Number,2608
1996,089,89 years,-,Both sexes,Number,3134
1996,089,89 years,1,Male,Number,894
1996,089,89 years,2,Female,Number,2240
1996,090,90 years,-,Both sexes,Number,2517
1996,090,90 years,1,Male,Number,695
1996,090,90 years,2,Female,Number,1822
1996,091,91 years,-,Both sexes,Number,1960
1996,091,91 years,1,Male,Number,562
1996,091,91 years,2,Female,Number,1398
1996,092,92 years,-,Both sexes,Number,1465
1996,092,92 years,1,Male,Number,348
1996,092,92 years,2,Female,Number,1117
1996,093,93 years,-,Both sexes,Number,1111
1996,093,93 years,1,Male,Number,270
1996,093,93 years,2,Female,Number,841
1996,094,94 years,-,Both sexes,Number,780
1996,094,94 years,1,Male,Number,208
1996,094,94 years,2,Female,Number,572
1996,095,95 years,-,Both sexes,Number,599
1996,095,95 years,1,Male,Number,132
1996,095,95 years,2,Female,Number,467
1996,096,96 years,-,Both sexes,Number,362
1996,096,96 years,1,Male,Number,94
1996,096,96 years,2,Female,Number,268
1996,097,97 years,-,Both sexes,Number,240
1996,097,97 years,1,Male,Number,57
1996,097,97 years,2,Female,Number,183
1996,098,98 years,-,Both sexes,Number,142
1996,098,98 years,1,Male,Number,25
1996,098,98 years,2,Female,Number,117
